Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Grant Williams,PF,F,52,8,8,18.74,1.6,3.8,0.419,0.7,2.0,0.358,0.4,0.8,0.55,2.9,1.0,0.6,0.3,0.9,4.3,2020-2021
Kenrich Williams,PF,F,60,11,0,21.23,3.1,6.0,0.527,0.8,1.7,0.446,0.6,1.0,0.579,4.2,2.2,0.8,0.2,1.0,7.6,2020-2021
Lou Williams,PG,G,55,3,7,22.22,4.3,10.3,0.418,1.1,2.8,0.388,2.4,2.7,0.874,1.9,3.4,0.8,0.1,1.6,12.1,2020-2021
Patrick Williams,PF,F,58,58,1,28.3,3.6,7.5,0.484,0.8,2.0,0.385,1.2,1.6,0.755,4.7,1.4,0.9,0.7,1.4,9.2,2020-2021
Robert Williams,C,C,47,10,13,18.9,3.7,5.1,0.72,0.0,0.0,0.0,0.9,1.4,0.646,7.0,1.8,0.8,1.8,1.0,8.2,2020-2021
Zion Williamson,PF,F,54,54,5,32.9,10.4,16.7,0.618,0.2,0.6,0.3,6.0,8.5,0.704,7.2,3.6,0.9,0.7,2.6,26.9,2020-2021
D.J. Wilson,PF,F,31,0,30,10.61,1.6,4.1,0.386,0.7,2.2,0.333,0.4,0.6,0.579,2.7,0.5,0.2,0.5,0.5,4.3,2020-2021
Dylan Windler,SF,F,31,0,28,16.54,1.8,4.2,0.438,0.8,2.5,0.338,0.7,0.9,0.778,3.5,1.1,0.6,0.4,1.0,5.2,2020-2021
Justise Winslow,SF,F,19,0,39,20.21,2.9,8.6,0.344,0.3,2.2,0.143,0.5,0.9,0.556,4.4,1.8,0.7,0.4,1.6,6.7,2020-2021
Cassius Winston,PG,G,18,0,41,5.08,0.7,1.7,0.419,0.4,0.9,0.5,0.3,0.3,0.833,0.5,0.6,0.1,0.1,0.1,2.2,2020-2021
James Wiseman,C,C,39,27,21,21.43,4.9,9.4,0.519,0.3,1.0,0.316,1.4,2.2,0.628,5.8,0.7,0.3,0.9,1.5,11.5,2020-2021
Christian Wood,C,C,37,37,23,32.02,8.1,15.5,0.523,1.8,4.8,0.376,2.9,4.6,0.634,9.5,1.5,0.9,1.2,1.9,21.0,2020-2021
Robert Woodard,SF,F,11,0,48,2.61,0.6,1.3,0.5,0.1,0.4,0.25,0.3,0.7,0.375,1.0,0.0,0.0,0.2,0.1,1.6,2020-2021
Delon Wright,SG,G,50,31,7,26.85,3.5,7.6,0.46,0.9,2.4,0.372,1.8,2.3,0.814,4.0,4.2,1.5,0.4,1.1,9.7,2020-2021
Thaddeus Young,PF,F,55,17,4,24.06,5.6,9.6,0.578,0.2,0.6,0.286,1.0,1.5,0.635,6.2,4.1,1.1,0.6,2.0,12.3,2020-2021
Trae Young,PG,G,54,54,6,34.23,7.6,17.8,0.429,2.3,6.4,0.357,7.7,8.8,0.874,3.9,9.6,0.9,0.2,4.2,25.3,2020-2021
Cody Zeller,C,C,38,20,21,20.96,3.6,6.7,0.542,0.1,0.7,0.12,1.7,2.2,0.741,6.9,1.9,0.6,0.4,1.1,8.9,2020-2021
Ivica Zubac,C,C,62,23,0,22.44,3.6,5.6,0.644,0.0,0.0,0.0,2.0,2.5,0.786,7.3,1.2,0.4,0.9,1.1,9.2,2020-2021
